serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens
56,"Thanks for the explanation! That's what I was looking for! :) Of course, the answer is C - ensure fault tolerance.","Thanks for the explanation! That's what I was looking for! :) Of course, the answer is C - ensure fault tolerance.",thanks for the explanation thats what i was looking for : of course the answer is c ensure fault tolerance,"['thank', 'explanation', 'that', 's', 'look', ':', 'course', 'answer', 'c', 'ensure', 'fault', 'tolerance']"
57,Brilliantly Explained,Brilliantly Explained,brilliantly explained,"['brilliantly', 'explain']"
58,"This is such a useful video, thank you!!","This is such a useful video, thank you!!",this is such a useful video thank you,"['useful', 'video', 'thank']"
59,thumps up is just a small appriciation need  deserve more than that brilliant explanation,thumps up is just a small appriciation need  deserve more than that brilliant explanation,thumps up is just a small appriciation need deserve more than that brilliant explanation,"['thumps', 'small', 'appriciation', 'need', 'deserve', 'brilliant', 'explanation']"
60,Good explanation. Seems like a lot of work to create useless word-frequency maps of nonsense emails though.,Good explanation. Seems like a lot of work to create useless word-frequency maps of nonsense emails though.,good explanation seems like a lot of work to create useless wordfrequency maps of nonsense emails though,"['good', 'explanation', 'seem', 'like', 'lot', 'work', 'create', 'useless', 'wordfrequency', 'map', 'nonsense', 'email', 'though']"
61,Clearest explanation of Hadoop that I have come across.,Clearest explanation of Hadoop that I have come across.,clearest explanation of hadoop that i have come across,"['clear', 'explanation', 'hadoop', 'come', 'across']"
62,How can i like it two times?,How can i like it two times?,how can i like it two times,"['like', 'two', 'time']"
63,"Sir, Thanks a lot for This Amazing Lecture 🙂","Sir, Thanks a lot for This Amazing Lecture  slightly_smiling_face ",sir thanks a lot for this amazing lecture slightly_smiling_face,"['sir', 'thank', 'lot', 'amazing', 'lecture', 'slightly_smiling_face']"
64,"Yeah ok, so it's RAID but with a different name and a bit more options.","Yeah ok, so it's RAID but with a different name and a bit more options.",yeah ok so its raid but with a different name and a bit more options,"['yeah', 'ok', 'raid', 'different', 'name', 'bit', 'option']"
65,"Good video. Clear and concise.
Answer to quiz - C (Ensures fault tolerance)","Good video. Clear and concise.
Answer to quiz - C (Ensures fault tolerance)",good video clear and concise answer to quiz c ensures fault tolerance,"['good', 'video', 'clear', 'concise', 'answer', 'quiz', 'c', 'ensure', 'fault', 'tolerance']"
66,"c) Ensures Fault Tolerance

Thank you so much for the video - Love it!","c) Ensures Fault Tolerance

Thank you so much for the video - Love it!",c ensures fault tolerance thank you so much for the video love it,"['c', 'ensure', 'fault', 'tolerance', 'thank', 'much', 'video', 'love']"
67,That was the easiest way to learn and understand Hadoop thank you!,That was the easiest way to learn and understand Hadoop thank you!,that was the easiest way to learn and understand hadoop thank you,"['easy', 'way', 'learn', 'understand', 'hadoop', 'thank']"
68,"Ensures fault tolerance.

Great video, thank you so much!","Ensures fault tolerance.

Great video, thank you so much!",ensures fault tolerance great video thank you so much,"['ensure', 'fault', 'tolerance', 'great', 'video', 'thank', 'much']"
69,"Thank you, that's the best explanation I've ever heard.","Thank you, that's the best explanation I've ever heard.",thank you thats the best explanation ive ever heard,"['thank', 'that', 's', 'good', 'explanation', 'I', 've', 'ever', 'hear']"
70,Excellent explanation in 6 mins. Thank you!,Excellent explanation in 6 mins. Thank you!,excellent explanation in mins thank you,"['excellent', 'explanation', 'min', 'thank']"
71,The answer would be (C) Ensures Fault Tolerance! Thanks again. Wonderful presentation,The answer would be (C) Ensures Fault Tolerance! Thanks again. Wonderful presentation,the answer would be c ensures fault tolerance thanks again wonderful presentation,"['answer', 'would', 'c', 'ensure', 'fault', 'tolerance', 'thank', 'wonderful', 'presentation']"
72,hadoop is an amazing way to manage and process big data.,hadoop is an amazing way to manage and process big data.,hadoop is an amazing way to manage and process big data,"['hadoop', 'amazing', 'way', 'manage', 'process', 'big', 'datum']"
