serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens
206,Amazing video,Amazing video,amazing video,"['amazing', 'video']"
207,"Hi, my answer is ""ensures fault tolerance"". Thank for the clear video, it will be useful for the Azure Data Fundamentals Certification.","Hi, my answer is ""ensures fault tolerance"". Thank for the clear video, it will be useful for the Azure Data Fundamentals Certification.",hi my answer is ensures fault tolerance thank for the clear video it will be useful for the azure data fundamentals certification,"['hi', 'answer', 'ensure', 'fault', 'tolerance', 'thank', 'clear', 'video', 'useful', 'azure', 'datum', 'fundamental', 'certification']"
208,Pretty awesome!!! ..,Pretty awesome!!! ..,pretty awesome,"['pretty', 'awesome']"
209,Good intro video ! Answer is Option C.,Good intro video ! Answer is Option C.,good intro video answer is option c,"['good', 'intro', 'video', 'answer', 'option', 'c']"
210,"thanks ans: A,B,D,... with the possibility of improving C fault capabilities.","thanks ans: A,B,D,... with the possibility of improving C fault capabilities.",thanks ans: abd with the possibility of improving c fault capabilities,"['thank', 'ans', ':', 'abd', 'possibility', 'improve', 'c', 'fault', 'capability']"
211,"most people misinterpret it as a software product, whereas it simply is a framework","most people misinterpret it as a software product, whereas it simply is a framework",most people misinterpret it as a software product whereas it simply is a framework,"['people', 'misinterpret', 'software', 'product', 'whereas', 'simply', 'framework']"
212,"answer is c , it ensures the fault tolerance","answer is c , it ensures the fault tolerance",answer is c it ensures the fault tolerance,"['answer', 'c', 'ensure', 'fault', 'tolerance']"
213,Love it !,Love it !,love it,['love']
214,excellent,excellent,excellent,['excellent']
215,Good knowledge,Good knowledge,good knowledge,"['good', 'knowledge']"
216,very gud ................................,very gud ................................,very gud,['gud']
217,"ensure fault tolerance, thanks for the tutorial","ensure fault tolerance, thanks for the tutorial",ensure fault tolerance thanks for the tutorial,"['ensure', 'fault', 'tolerance', 'thank', 'tutorial']"
218,Replica nodes help in fault tolerance but I think it may also help in load balance as replica nodes which can also take part in search queries which reduce load on one node,Replica nodes help in fault tolerance but I think it may also help in load balance as replica nodes which can also take part in search queries which reduce load on one node,replica nodes help in fault tolerance but i think it may also help in load balance as replica nodes which can also take part in search queries which reduce load on one node,"['replica', 'node', 'help', 'fault', 'tolerance', 'think', 'may', 'also', 'help', 'load', 'balance', 'replica', 'node', 'also', 'take', 'part', 'search', 'query', 'reduce', 'load', 'one', 'node']"
219,thank you,thank you,thank you,['thank']
220,Small Capsule but more informative.  The correct option is C.,Small Capsule but more informative.  The correct option is C.,small capsule but more informative the correct option is c,"['small', 'capsule', 'informative', 'correct', 'option', 'c']"
221,Option C) Ensures fault tolerance,Option C) Ensures fault tolerance,option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
222,Best one 😍,Best one  smiling_face_with_heart-eyes ,best one smiling_face_with_hearteyes,"['good', 'one', 'smiling_face_with_hearteye']"
223,Liked - Subscribed - The answer to the quiz is C) Ensures fault tolerance.  =),Liked - Subscribed - The answer to the quiz is C) Ensures fault tolerance.  =),liked subscribed the answer to the quiz is c ensures fault tolerance,"['like', 'subscribe', 'answer', 'quiz', 'c', 'ensure', 'fault', 'tolerance']"
224,"Ensures Fault tolerance, which helps not to lose data if any of the node is down.","Ensures Fault tolerance, which helps not to lose data if any of the node is down.",ensures fault tolerance which helps not to lose data if any of the node is down,"['ensure', 'fault', 'tolerance', 'help', 'lose', 'datum', 'node']"
225,answer: Ensures fault tolerance,answer: Ensures fault tolerance,answer: ensures fault tolerance,"['answer', ':', 'ensure', 'fault', 'tolerance']"
226,"I clicked in this video thinking it would be satire because of the title, still a good video and learned a lot.","I clicked in this video thinking it would be satire because of the title, still a good video and learned a lot.",i clicked in this video thinking it would be satire because of the title still a good video and learned a lot,"['click', 'video', 'thinking', 'would', 'satire', 'title', 'still', 'good', 'video', 'learn', 'lot']"
227,great explanation,great explanation,great explanation,"['great', 'explanation']"
228,"quiz 05:11  My answer is A, B, and C.","quiz 05:11  My answer is A, B, and C.",quiz : my answer is a b and c,"['quiz', ':', 'answer', 'b', 'c']"
229,thanks for the great explanation and answer is C,thanks for the great explanation and answer is C,thanks for the great explanation and answer is c,"['thank', 'great', 'explanation', 'answer', 'c']"
230,the answer is C ie Ensure Fault tolerance.,the answer is C ie Ensure Fault tolerance.,the answer is c ie ensure fault tolerance,"['answer', 'c', 'ie', 'ensure', 'fault', 'tolerance']"
231,Thank you. Easy explaination,Thank you. Easy explaination,thank you easy explaination,"['thank', 'easy', 'explaination']"
232,this video is super useful!!!,this video is super useful!!!,this video is super useful,"['video', 'super', 'useful']"
233,Thank you very much!,Thank you very much!,thank you very much,"['thank', 'much']"
234,This is really helpful.. answer is C,This is really helpful.. answer is C,this is really helpful answer is c,"['really', 'helpful', 'answer', 'c']"
235,"Great Video!! Easy to learn, Ensure Fault tolerant for data block replication in node.","Great Video!! Easy to learn, Ensure Fault tolerant for data block replication in node.",great video easy to learn ensure fault tolerant for data block replication in node,"['great', 'video', 'easy', 'learn', 'ensure', 'fault', 'tolerant', 'data', 'block', 'replication', 'node']"
236,Great explanation..100 times better than our lecturers..thank u,Great explanation..100 times better than our lecturers..thank u,great explanation times better than our lecturersthank u,"['great', 'explanation', 'time', 'well', 'lecturersthank', 'u']"
237,Thank you so much for this simple explanation,Thank you so much for this simple explanation,thank you so much for this simple explanation,"['thank', 'much', 'simple', 'explanation']"
238,The answer is C.(ensures fault tolerance),The answer is C.(ensures fault tolerance),the answer is censures fault tolerance,"['answer', 'censure', 'fault', 'tolerance']"
239,answer is (c) ensures fault tolerance,answer is (c) ensures fault tolerance,answer is c ensures fault tolerance,"['answer', 'c', 'ensure', 'fault', 'tolerance']"
240,all of the above right answer,all of the above right answer,all of the above right answer,"['right', 'answer']"
241,answer is C.Ensures fault tolerance,answer is C.Ensures fault tolerance,answer is censures fault tolerance,"['answer', 'censure', 'fault', 'tolerance']"
242,"Thanks, great Video 
I selected the option C - Ensure Fault tolerance","Thanks, great Video 
I selected the option C - Ensure Fault tolerance",thanks great video i selected the option c ensure fault tolerance,"['thank', 'great', 'video', 'select', 'option', 'c', 'ensure', 'fault', 'tolerance']"
243,C! Great video,C! Great video,c great video,"['c', 'great', 'video']"
244,Good one ... answer is C.,Good one ... answer is C.,good one answer is c,"['good', 'one', 'answer', 'c']"
245,The correct answer should be c) ensures fault tolerance,The correct answer should be c) ensures fault tolerance,the correct answer should be c ensures fault tolerance,"['correct', 'answer', 'c', 'ensure', 'fault', 'tolerance']"
246,Amazing.....answer is C,Amazing.....answer is C,amazinganswer is c,"['amazinganswer', 'c']"
247,Really very good info. Thanks.,Really very good info. Thanks.,really very good info thanks,"['really', 'good', 'info', 'thank']"
248,Thanks,Thanks,thanks,['thank']
249,The answer is C ensures fault tolerance!,The answer is C ensures fault tolerance!,the answer is c ensures fault tolerance,"['answer', 'c', 'ensure', 'fault', 'tolerance']"
250,Answer C! Please make the Amazon voucher out to Jon and Patrick. Thanks Simplilearn 😁,Answer C! Please make the Amazon voucher out to Jon and Patrick. Thanks Simplilearn  beaming_face_with_smiling_eyes ,answer c please make the amazon voucher out to jon and patrick thanks simplilearn beaming_face_with_smiling_eyes,"['answer', 'c', 'please', 'make', 'amazon', 'voucher', 'jon', 'patrick', 'thank', 'simplilearn', 'beaming_face_with_smiling_eye']"
251,Option (c) Ensures Fault tolerance.,Option (c) Ensures Fault tolerance.,option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
252,C. Ensure fault tolerance,C. Ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
253,c) ensures fault tolerance,c) ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
254,C. Ensure fault tolerance,C. Ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
255,a good intro,a good intro,a good intro,"['good', 'intro']"
256,"Advantages of the 3x replication Schema in HdFS is b,c,d","Advantages of the 3x replication Schema in HdFS is b,c,d",advantages of the x replication schema in hdfs is bcd,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'bcd']"
257,ensures fault tolerance since replication factor is 3 each 128 mb data will be replicated 3 times,ensures fault tolerance since replication factor is 3 each 128 mb data will be replicated 3 times,ensures fault tolerance since replication factor is each mb data will be replicated times,"['ensure', 'fault', 'tolerance', 'since', 'replication', 'factor', 'mb', 'datum', 'replicate', 'time']"
258,The 3x replication schema ensures fault tolerance,The 3x replication schema ensures fault tolerance,the x replication schema ensures fault tolerance,"['x', 'replication', 'schema', 'ensure', 'fault', 'tolerance']"
259,Option C fault tolerance,Option C fault tolerance,option c fault tolerance,"['option', 'c', 'fault', 'tolerance']"
260,Option C is the correct Answer,Option C is the correct Answer,option c is the correct answer,"['option', 'c', 'correct', 'answer']"
261,Wow something productive,Wow something productive,wow something productive,"['wow', 'something', 'productive']"
262,Great video. I believe the answer is option b.,Great video. I believe the answer is option b.,great video i believe the answer is option b,"['great', 'video', 'believe', 'answer', 'option', 'b']"
263,By given question answer was--ensure fault tolerance,By given question answer was--ensure fault tolerance,by given question answer wasensure fault tolerance,"['give', 'question', 'answer', 'wasensure', 'fault', 'tolerance']"
264,"C, ensures fault tolerance","C, ensures fault tolerance",c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
265,Ensures fault tolerance option c is correct.,Ensures fault tolerance option c is correct.,ensures fault tolerance option c is correct,"['ensure', 'fault', 'tolerance', 'option', 'c', 'correct']"
266,Answer is a) support parallel processing,Answer is a) support parallel processing,answer is a support parallel processing,"['answer', 'support', 'parallel', 'processing']"
267,ensures fault tollerance,ensures fault tollerance,ensures fault tollerance,"['ensure', 'fault', 'tollerance']"
268,C) ensures fault tolerance because duplication is a strategy to do that,C) ensures fault tolerance because duplication is a strategy to do that,c ensures fault tolerance because duplication is a strategy to do that,"['c', 'ensure', 'fault', 'tolerance', 'duplication', 'strategy']"
269,"answer is c, fault tolerance","answer is c, fault tolerance",answer is c fault tolerance,"['answer', 'c', 'fault', 'tolerance']"
270,C) ensure fault tolerance,C) ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
271,option C> ensure fault tolerance,option C> ensure fault tolerance,option c ensure fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
272,All 4 options are correct,All 4 options are correct,all options are correct,"['option', 'correct']"
273,C) Ensures fault tolerance.,C) Ensures fault tolerance.,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
274,Correct answer is c: Ensures fault tolerance.. which Protects the data when a node crashes,Correct answer is c: Ensures fault tolerance.. which Protects the data when a node crashes,correct answer is c: ensures fault tolerance which protects the data when a node crashes,"['correct', 'answer', 'c', ':', 'ensure', 'fault', 'tolerance', 'protect', 'data', 'node', 'crash']"
275,The answer is option (C) Ensure fault tolerance.,The answer is option (C) Ensure fault tolerance.,the answer is option c ensure fault tolerance,"['answer', 'option', 'c', 'ensure', 'fault', 'tolerance']"
276,The answer is c ❤️,The answer is c  red_heart ,the answer is c red_heart,"['answer', 'c', 'red_heart']"
277,Option C is the answer because it avoids data loss,Option C is the answer because it avoids data loss,option c is the answer because it avoids data loss,"['option', 'c', 'answer', 'avoid', 'data', 'loss']"
278,3X replication of schema in HDFS ensures fault tolerance,3X replication of schema in HDFS ensures fault tolerance,x replication of schema in hdfs ensures fault tolerance,"['x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']"
279,C) Ensures fault tolerance,C) Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
280,the answer is  c)Ensures fault tolerance,the answer is  c)Ensures fault tolerance,the answer is censures fault tolerance,"['answer', 'censure', 'fault', 'tolerance']"
281,3 time factor is used for fault tolerance,3 time factor is used for fault tolerance,time factor is used for fault tolerance,"['time', 'factor', 'use', 'fault', 'tolerance']"
282,"Option C :Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance","Option C :Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance",option c :advantage of the x replication schema in hdfs is ensure fault tolerance,"['option', 'c', ':', 'advantage', 'x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']"
283,C.  To ensure fault tolerance,C.  To ensure fault tolerance,c to ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
284,c) ensures fault tolerance,c) ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
285,Option C: to Ensure fault tolerance,Option C: to Ensure fault tolerance,option c: to ensure fault tolerance,"['option', 'c', ':', 'ensure', 'fault', 'tolerance']"
286,The advantage of 3X replication schema in HDFS is It Ensures fault tolerance,The advantage of 3X replication schema in HDFS is It Ensures fault tolerance,the advantage of x replication schema in hdfs is it ensures fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'ensure', 'fault', 'tolerance']"
287,he advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,he advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,he advantage of the x replication schema in hdfs is option c: to ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance']"
288,C) Ensure fault tolerance,C) Ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
289,"Informative video with one Caveat.  With respect to replication.  The phrase ""at no cost"" is not  true.  There is a cost of disk space.  For the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned.","Informative video with one Caveat.  With respect to replication.  The phrase ""at no cost"" is not  true.  There is a cost of disk space.  For the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned.",informative video with one caveat with respect to replication the phrase at no cost is not true there is a cost of disk space for the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned,"['informative', 'video', 'one', 'caveat', 'respect', 'replication', 'phrase', 'cost', 'true', 'cost', 'disk', 'space', 'purpose', 'video', 'pedantic', 'point', 'architect', 'budget', 'set', 'reason', 'mention']"
290,Answer is Fault tolerance,Answer is Fault tolerance,answer is fault tolerance,"['answer', 'fault', 'tolerance']"
291,C. Ensure fault tolerance,C. Ensure fault tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
292,the answer is : ensures fault tolerance.,the answer is : ensures fault tolerance.,the answer is : ensures fault tolerance,"['answer', ':', 'ensure', 'fault', 'tolerance']"
293,"C
is the correct one","C
is the correct one",c is the correct one,"['c', 'correct', 'one']"
294,Option b c and d is the advantage of hdfs,Option b c and d is the advantage of hdfs,option b c and d is the advantage of hdfs,"['option', 'b', 'c', 'advantage', 'hdfs']"
295,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
296,C: Fault tolerance is the answer,C: Fault tolerance is the answer,c: fault tolerance is the answer,"['c', ':', 'fault', 'tolerance', 'answer']"
297,The answer is to ensures fault tolerance.,The answer is to ensures fault tolerance.,the answer is to ensures fault tolerance,"['answer', 'ensure', 'fault', 'tolerance']"
298,c) ensures fault tolerance,c) ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
299,C.Ensures Fault tolerance,C.Ensures Fault tolerance,censures fault tolerance,"['censure', 'fault', 'tolerance']"
300,3x replication in HDFS ensures fault tolerance.,3x replication in HDFS ensures fault tolerance.,x replication in hdfs ensures fault tolerance,"['x', 'replication', 'hdfs', 'ensure', 'fault', 'tolerance']"
301,it ensures fault tolerance,it ensures fault tolerance,it ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
302,amazing,amazing,amazing,['amazing']
303,All of the above are advantages,All of the above are advantages,all of the above are advantages,['advantage']
304,C ensures fault tolerance,C ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
305,"Well the Answer is To Ensure Fault Tolerance
If any case our data got erase or corrupt we can still have it as backup","Well the Answer is To Ensure Fault Tolerance
If any case our data got erase or corrupt we can still have it as backup",well the answer is to ensure fault tolerance if any case our data got erase or corrupt we can still have it as backup,"['well', 'answer', 'ensure', 'fault', 'tolerance', 'case', 'datum', 'get', 'erase', 'corrupt', 'still', 'backup']"
306,Supports parallel processing,Supports parallel processing,supports parallel processing,"['support', 'parallel', 'processing']"
307,C Option : Ensure fault tolerance,C Option : Ensure fault tolerance,c option : ensure fault tolerance,"['c', 'option', ':', 'ensure', 'fault', 'tolerance']"
308,Answer is c) Ensure Fault Tolerance,Answer is c) Ensure Fault Tolerance,answer is c ensure fault tolerance,"['answer', 'c', 'ensure', 'fault', 'tolerance']"
309,It Ensures fault tolerance,It Ensures fault tolerance,it ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
310,"option c, ensure fault tolerance","option c, ensure fault tolerance",option c ensure fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
311,answer C: fault-tolerance,answer C: fault-tolerance,answer c: faulttolerance,"['answer', 'c', ':', 'faulttolerance']"
312,C ensures fault tolerance,C ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
313,Option C. Ensures Fault Tolerance,Option C. Ensures Fault Tolerance,option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
314,option C ensures data fault tolerance,option C ensures data fault tolerance,option c ensures data fault tolerance,"['option', 'c', 'ensure', 'data', 'fault', 'tolerance']"
315,"answer is ""data is not lost at any cost; even if one DataNode crashes, hence HDFS is ensure fault-tolerant.""","answer is ""data is not lost at any cost; even if one DataNode crashes, hence HDFS is ensure fault-tolerant.""",answer is data is not lost at any cost even if one datanode crashes hence hdfs is ensure faulttolerant,"['answer', 'datum', 'lose', 'cost', 'even', 'one', 'datanode', 'crash', 'hence', 'hdfs', 'ensure', 'faulttolerant']"
316,"The answer to the question is fault tolerance. But I have a doubt, when 3x replication happens the storage amount also increases by 3 right. does that cost more on storage ?","The answer to the question is fault tolerance. But I have a doubt, when 3x replication happens the storage amount also increases by 3 right. does that cost more on storage ?",the answer to the question is fault tolerance but i have a doubt when x replication happens the storage amount also increases by right does that cost more on storage,"['answer', 'question', 'fault', 'tolerance', 'doubt', 'x', 'replication', 'happen', 'storage', 'amount', 'also', 'increase', 'right', 'cost', 'storage']"
317,answer of the question :  is c ) Ensures fault tolerance,answer of the question :  is c ) Ensures fault tolerance,answer of the question : is c ensures fault tolerance,"['answer', 'question', ':', 'c', 'ensure', 'fault', 'tolerance']"
318,The answer is: C) Ensures fault tolerance,The answer is: C) Ensures fault tolerance,the answer is: c ensures fault tolerance,"['answer', ':', 'c', 'ensure', 'fault', 'tolerance']"
319,I can’t believe i understood this.,I can’t believe i understood this.,i cant believe i understood this,"['can', 'not', 'believe', 'understand']"
320,Answer is C  - fault tolerance,Answer is C  - fault tolerance,answer is c fault tolerance,"['answer', 'c', 'fault', 'tolerance']"
321,"c) Ensures fault tolerance.

Answer to the question  at 05:25 :)","c) Ensures fault tolerance.

Answer to the question  at 05:25 :)",c ensures fault tolerance answer to the question at : :,"['c', 'ensure', 'fault', 'tolerance', 'answer', 'question', ':', ':']"
322,The answer is To ensure fault tolerance,The answer is To ensure fault tolerance,the answer is to ensure fault tolerance,"['answer', 'ensure', 'fault', 'tolerance']"
323,Very good!,Very good!,very good,['good']
324,option c ensures fault tolerance.,option c ensures fault tolerance.,option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
325,HDFS 3X schema: Ensure fault tolerance.,HDFS 3X schema: Ensure fault tolerance.,hdfs x schema: ensure fault tolerance,"['hdfs', 'x', 'schema', ':', 'ensure', 'fault', 'tolerance']"
326,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
327,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
328,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
329,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
330,Option c correct,Option c correct,option c correct,"['option', 'c', 'correct']"
331,C - Ensures fault tolerance,C - Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
332,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
333,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
334,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
335,ans is C. Ensures fault tolerance,ans is C. Ensures fault tolerance,ans is c ensures fault tolerance,"['ans', 'c', 'ensure', 'fault', 'tolerance']"
336,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
337,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
338,Ensures fault tolerance,Ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
339,"Answer is ""A: Parallel processing""","Answer is ""A: Parallel processing""",answer is a: parallel processing,"['answer', ':', 'parallel', 'processing']"
340,Option C is correct.,Option C is correct.,option c is correct,"['option', 'c', 'correct']"
341,The answer is 3)   Ensures fault tolerance,The answer is 3)   Ensures fault tolerance,the answer is ensures fault tolerance,"['answer', 'ensure', 'fault', 'tolerance']"
342,To ensure fault tolerance,To ensure fault tolerance,to ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
343,c. Ensures fault tolerance,c. Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
344,C is the correct option.,C is the correct option.,c is the correct option,"['c', 'correct', 'option']"
345,Option c is the correct answer,Option c is the correct answer,option c is the correct answer,"['option', 'c', 'correct', 'answer']"
346,Answer for your question is 3×replication   ensures fault tolerance,Answer for your question is 3×replication   ensures fault tolerance,answer for your question is replication ensures fault tolerance,"['answer', 'question', 'replication', 'ensure', 'fault', 'tolerance']"
347,Answer : (c) fault tolerance,Answer : (c) fault tolerance,answer : c fault tolerance,"['answer', ':', 'c', 'fault', 'tolerance']"
348,"Answer of Question is C ,Ensure  fault tolerence","Answer of Question is C ,Ensure  fault tolerence",answer of question is c ensure fault tolerence,"['answer', 'question', 'c', 'ensure', 'fault', 'tolerence']"
349,The answer is : Ensure fault tolerance,The answer is : Ensure fault tolerance,the answer is : ensure fault tolerance,"['answer', ':', 'ensure', 'fault', 'tolerance']"
350,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
351,advantage of 3X replication schema is it ensures fault tolerance.,advantage of 3X replication schema is it ensures fault tolerance.,advantage of x replication schema is it ensures fault tolerance,"['advantage', 'x', 'replication', 'schema', 'ensure', 'fault', 'tolerance']"
352,C ensuring fault tolerance,C ensuring fault tolerance,c ensuring fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
353,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
354,OPT C] Fault Tolarance,OPT C] Fault Tolarance,opt c fault tolarance,"['opt', 'c', 'fault', 'tolarance']"
355,Ans: Ensures for tolerance,Ans: Ensures for tolerance,ans: ensures for tolerance,"['ans', ':', 'ensure', 'tolerance']"
356,c) Ensures fault tolerance,c) Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
357,C Ensures fault tolerance,C Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
358,Fault Tolerance is the answer,Fault Tolerance is the answer,fault tolerance is the answer,"['fault', 'tolerance', 'answer']"
359,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
360,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
361,Option is C),Option is C),option is c,"['option', 'c']"
362,C. Ensures fault tolerance,C. Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
363,Could I use hadoop to implement a data warehouse?,Could I use hadoop to implement a data warehouse?,could i use hadoop to implement a data warehouse,"['could', 'use', 'hadoop', 'implement', 'data', 'warehouse']"
364,C. Ensures fault tolerance,C. Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
365,c) ensures Fault Tolerance,c) ensures Fault Tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
366,super,super,super,['super']
367,all four is the answer,all four is the answer,all four is the answer,"['four', 'answer']"
368,c.) Ensures fault tolerance,c.) Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
369,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
370,c) Ensures fault tolerance,c) Ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
371,"1:16
4:11
5:43","1:16
4:11
5:43",: : :,"[':', ':', ':']"
372,option c is correct,option c is correct,option c is correct,"['option', 'c', 'correct']"
373,All of the above,All of the above,all of the above,[]
374,Ensure fault tolerance,Ensure fault tolerance,ensure fault tolerance,"['ensure', 'fault', 'tolerance']"
375,Great explainer vid! Is Hadoop still relevant today?  how does it work in the AI/ML pipeline ?,Great explainer vid! Is Hadoop still relevant today?  how does it work in the AI/ML pipeline ?,great explainer vid is hadoop still relevant today how does it work in the aiml pipeline,"['great', 'explainer', 'vid', 'hadoop', 'still', 'relevant', 'today', 'work', 'aiml', 'pipeline']"
376,Fault tolerance is the answer,Fault tolerance is the answer,fault tolerance is the answer,"['fault', 'tolerance', 'answer']"
377,C) Ensures fault tolerance 😃,C) Ensures fault tolerance  grinning_face_with_big_eyes ,c ensures fault tolerance grinning_face_with_big_eyes,"['c', 'ensure', 'fault', 'tolerance', 'grinning_face_with_big_eyes']"
378,"Answer is 
C.Ensures Fault Tolerance","Answer is 
C.Ensures Fault Tolerance",answer is censures fault tolerance,"['answer', 'censure', 'fault', 'tolerance']"
379,Supports parallel processing,Supports parallel processing,supports parallel processing,"['support', 'parallel', 'processing']"
380,C) ensures fault tolerance,C) ensures fault tolerance,c ensures fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
381,Option C is correct,Option C is correct,option c is correct,"['option', 'c', 'correct']"
382,C) ensure fault Tolerance,C) ensure fault Tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
383,ensures fault tolerance,ensures fault tolerance,ensures fault tolerance,"['ensure', 'fault', 'tolerance']"
384,Option C is the right ans,Option C is the right ans,option c is the right ans,"['option', 'c', 'right', 'an']"
385,Option C: Ensure Fault tolerances.,Option C: Ensure Fault tolerances.,option c: ensure fault tolerances,"['option', 'c', ':', 'ensure', 'fault', 'tolerance']"
386,🔥🔥🔥🔥🔥🔥🔥🔥, fire  fire  fire  fire  fire  fire  fire  fire ,fire fire fire fire fire fire fire fire,"['fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire']"
387,Its option C) Ensures fault tolerance,Its option C) Ensures fault tolerance,its option c ensures fault tolerance,"['option', 'c', 'ensure', 'fault', 'tolerance']"
388,The answer is : C: Ensure fault tolerance,The answer is : C: Ensure fault tolerance,the answer is : c: ensure fault tolerance,"['answer', ':', 'c', ':', 'ensure', 'fault', 'tolerance']"
389,FAULT TOLERANCE is the answer,FAULT TOLERANCE is the answer,fault tolerance is the answer,"['fault', 'tolerance', 'answer']"
390,Option C: Ensure Fault tolenrance,Option C: Ensure Fault tolenrance,option c: ensure fault tolenrance,"['option', 'c', ':', 'ensure', 'fault', 'tolenrance']"
391,C. Ensure Fault Tolerance,C. Ensure Fault Tolerance,c ensure fault tolerance,"['c', 'ensure', 'fault', 'tolerance']"
